municipality_code,municipality_name,comarca_code,comarca_name,reference_period,touches_coast,distance_to_coast_km,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
170813,Gualta,10,Baix Empordà,2026-02,false,7.432998,86.1862,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,86.1862,86.1862,100,,official,default,true
170828,Guils de Cerdanya,15,Cerdanya,2026-02,false,104.92385,12.2643,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,12.2643,12.2643,100,,official,default,true
170834,Hostalric,34,Selva,2026-02,false,14.43117,74.9294,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,74.9294,74.9294,100,,official,default,true
170849,Isòvol,15,Cerdanya,2026-02,false,107.147896,11.7307,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,11.7307,11.7307,100,,official,default,true
170852,Jafre,10,Baix Empordà,2026-02,false,11.244581,79.8603,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,79.8603,79.8603,100,,official,default,true
170865,la Jonquera,02,Alt Empordà,2026-02,false,23.057842,63.0554,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,63.0554,63.0554,100,,official,default,true
170871,Juià,20,Gironès,2026-02,false,21.774831,64.6943,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,64.6943,64.6943,100,,official,default,true
170887,Lladó,02,Alt Empordà,2026-02,false,24.982836,60.6739,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,60.6739,60.6739,100,,official,default,true
170890,Llagostera,20,Gironès,2026-02,false,10.593167,80.9075,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,80.9075,80.9075,100,,official,default,true
170904,Llambilles,20,Gironès,2026-02,false,20.564397,66.2796,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,66.2796,66.2796,100,,official,default,true
170911,Llanars,31,Ripollès,2026-02,false,64.553836,27.4975,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,27.4975,27.4975,100,,official,default,true
170926,Llançà,02,Alt Empordà,2026-02,true,0.901534,100,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,100,100,100,,official,default,true
170932,Llers,02,Alt Empordà,2026-02,false,18.673157,68.8346,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,68.8346,68.8346,100,,official,default,true
170947,Llívia,15,Cerdanya,2026-02,false,96.708852,14.4543,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,14.4543,14.4543,100,,official,default,true
170950,Lloret de Mar,34,Selva,2026-02,true,0.14001,100,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,100,100,100,,official,default,true
170963,les Llosses,31,Ripollès,2026-02,false,73.044044,23.2032,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,23.2032,23.2032,100,,official,default,true
170979,Madremanya,20,Gironès,2026-02,false,19.846723,67.2378,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,67.2378,67.2378,100,,official,default,true
170985,Maià de Montcal,19,Garrotxa,2026-02,false,30.466614,54.3714,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,54.3714,54.3714,100,,official,default,true
170998,Meranges,15,Cerdanya,2026-02,false,112.334272,10.5749,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,10.5749,10.5749,100,,official,default,true
171002,Masarac i Vilarnadal,02,Alt Empordà,2026-02,false,15.316474,73.6144,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,73.6144,73.6144,100,,official,default,true
171019,Massanes,34,Selva,2026-02,false,15.5672,73.2462,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,73.2462,73.2462,100,,official,default,true
171024,Maçanet de Cabrenys,02,Alt Empordà,2026-02,false,33.304484,51.3713,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,51.3713,51.3713,100,,official,default,true
171030,Maçanet de la Selva,34,Selva,2026-02,false,12.262223,78.2513,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,78.2513,78.2513,100,,official,default,true
171058,Mieres,19,Garrotxa,2026-02,false,39.471191,45.4106,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,45.4106,45.4106,100,,official,default,true
171061,Mollet de Peralada,02,Alt Empordà,2026-02,false,12.946357,77.1879,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,77.1879,77.1879,100,,official,default,true
171077,Molló,31,Ripollès,2026-02,false,60.314676,29.9305,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,29.9305,29.9305,100,,official,default,true
171096,Montagut i Oix,19,Garrotxa,2026-02,false,42.540277,42.7071,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,42.7071,42.7071,100,,official,default,true
171100,Mont-ras,10,Baix Empordà,2026-02,true,4.058769,100,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,100,100,100,,official,default,true
171117,Navata,02,Alt Empordà,2026-02,false,20.739171,66.0483,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,66.0483,66.0483,100,,official,default,true
171122,Ogassa,31,Ripollès,2026-02,false,69.130915,25.0921,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,25.0921,25.0921,100,,official,default,true
171143,Olot,19,Garrotxa,2026-02,false,51.27336,35.8629,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,35.8629,35.8629,100,,official,default,true
171156,Ordis,02,Alt Empordà,2026-02,false,16.897772,71.3227,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,71.3227,71.3227,100,,official,default,true
171169,Osor,34,Selva,2026-02,false,35.819901,48.8509,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,48.8509,48.8509,100,,official,default,true
171175,Palafrugell,10,Baix Empordà,2026-02,true,3.378278,100,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,100,100,100,,official,default,true
171181,Palamós,10,Baix Empordà,2026-02,true,0.186649,100,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,100,100,100,,official,default,true
171194,Palau de Santa Eulàlia,02,Alt Empordà,2026-02,false,12.130588,78.4576,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,78.4576,78.4576,100,,official,default,true
171208,Palau-saverdera,02,Alt Empordà,2026-02,false,4.781339,90.8803,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,90.8803,90.8803,100,,official,default,true
171215,Palau-sator,10,Baix Empordà,2026-02,false,7.349379,86.3305,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,86.3305,86.3305,100,,official,default,true
171236,Palol de Revardit,28,Pla de l'Estany,2026-02,false,27.76899,57.3854,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,57.3854,57.3854,100,,official,default,true
