municipality_code,municipality_name,comarca_code,comarca_name,reference_period,area_km2,natural_area_pct,forest_area_pct,protected_area_pct,elevation_mean,elevation_p05,elevation_p95,elevation_range_p90,mean_slope_deg,terrain_ruggedness,water_wetland_pct,touches_coast,landscape_units_count,landscape_diversity_entropy,official_viewpoints_count,viewpoints_per_100km2,natural_score,protected_score,relief_score,water_score,recognition_score,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
082423,Marganell,07,Bages,2024-2026,13.3455,88.492887,67.801315,70.40113,491.556604,288.22057,874.161743,585.941173,22.732347,173.666791,0.08297,false,,,,,90.0159,85.4125,73.3596,1.5312,,71.4283,90,derived,icgc_landcover_2024;gencat_protected_areas;icgc_coast_202602,,2026-08-21T20:11:40Z,0.2.0,,Landscape Recognition is optional and not included in the core score.,partial,71.4283,71.4283,100,,official,landscape_core,true
082439,Santa Cecília de Voltregà,24,Osona,2024-2026,8.8051,50.294188,34.220837,6.644431,576.153199,500.797287,693.15715,192.359863,12.996485,58.021143,0.1079,false,,,,,47.2297,8.0612,32.9916,2.0354,,27.0989,90,derived,icgc_landcover_2024;gencat_protected_areas;icgc_coast_202602,,2026-08-21T20:11:40Z,0.2.0,,Landscape Recognition is optional and not included in the core score.,partial,27.0989,27.0989,100,,official,landscape_core,true
082444,Santa Coloma de Cervelló,11,Baix Llobregat,2024-2026,7.4108,43.84613,24.170753,6.043916,78.007253,13.610166,229.663315,216.053149,9.207353,71.308853,3.475772,false,,,,,40.0073,7.3326,25.5695,60,,31.2281,90,derived,icgc_landcover_2024;gencat_protected_areas;icgc_coast_202602,,2026-08-21T20:11:40Z,0.2.0,,Landscape Recognition is optional and not included in the core score.,partial,31.2281,31.2281,100,,official,landscape_core,true
082457,Santa Coloma de Gramenet,13,Barcelonès,2024-2026,7.0396,37.888947,14.722882,0.172118,71.096123,14.434815,196.693737,182.258922,9.59587,57.600729,2.618497,false,,,,,33.3347,0.2088,24.8607,52.8171,,25.8571,90,derived,icgc_landcover_2024;gencat_protected_areas;icgc_coast_202602,,2026-08-21T20:11:40Z,0.2.0,,Landscape Recognition is optional and not included in the core score.,partial,25.8571,25.8571,100,,official,landscape_core,true
082460,Santa Eugènia de Berga,24,Osona,2024-2026,6.9798,18.544615,9.59037,0,514.966647,484.001242,571.194482,87.19324,3.647533,25.99255,0.221102,false,,,,,11.6672,0,7.011,4.3252,,6.485,90,derived,icgc_landcover_2024;gencat_protected_areas;icgc_coast_202602,,2026-08-21T20:11:40Z,0.2.0,,Landscape Recognition is optional and not included in the core score.,partial,6.485,6.485,100,,official,landscape_core,true
082476,Santa Eulàlia de Riuprimer,24,Osona,2024-2026,13.8908,65.942292,58.926223,0,668.955789,548.332809,824.168289,275.83548,13.054356,83.480276,0.079807,false,,,,,64.7571,0,37.034,1.4672,,32.1436,90,derived,icgc_landcover_2024;gencat_protected_areas;icgc_coast_202602,,2026-08-21T20:11:40Z,0.2.0,,Landscape Recognition is optional and not included in the core score.,partial,32.1436,32.1436,100,,official,landscape_core,true
082482,Santa Eulàlia de Ronçana,41,Vallès Oriental,2024-2026,14.1295,35.524906,28.032588,0,227.769608,156.09444,330.742416,174.647977,5.837671,56.74074,0.56329,false,,,,,30.6867,0,16.0412,11.2466,,16.4376,90,derived,icgc_landcover_2024;gencat_protected_areas;icgc_coast_202602,,2026-08-21T20:11:40Z,0.2.0,,Landscape Recognition is optional and not included in the core score.,partial,16.4376,16.4376,100,,official,landscape_core,true
082495,Santa Fe del Penedès,03,Alt Penedès,2024-2026,3.376,15.090533,8.211344,0,223.520791,190.455381,266.799742,76.344361,4.694532,24.091782,0.386075,false,,,,,7.7983,0,8.8603,7.6621,,6.0938,90,derived,icgc_landcover_2024;gencat_protected_areas;icgc_coast_202602,,2026-08-21T20:11:40Z,0.2.0,,Landscape Recognition is optional and not included in the core score.,partial,6.0938,6.0938,100,,official,landscape_core,true
082508,Santa Margarida de Montbui,06,Anoia,2024-2026,27.603,49.505112,37.437687,21.703269,431.970119,321.415462,595.911493,274.496031,10.146496,87.505764,0.107838,false,,,,,46.3459,26.331,30.4231,2.0342,,30.7147,90,derived,icgc_landcover_2024;gencat_protected_areas;icgc_coast_202602,,2026-08-21T20:11:40Z,0.2.0,,Landscape Recognition is optional and not included in the core score.,partial,30.7147,30.7147,100,,official,landscape_core,true
082515,Santa Margarida i els Monjos,03,Alt Penedès,2024-2026,17.4384,38.557054,19.128623,14.907541,210.72746,146.58461,336.543793,189.959183,6.616032,58.53715,0.652705,false,,,,,34.083,18.0862,18.5115,13.0552,,23.0367,90,derived,icgc_landcover_2024;gencat_protected_areas;icgc_coast_202602,,2026-08-21T20:11:40Z,0.2.0,,Landscape Recognition is optional and not included in the core score.,partial,23.0367,23.0367,100,,official,landscape_core,true
