municipality_code,municipality_name,comarca_code,comarca_name,reference_period,hospital_minutes,primary_care_minutes,supermarket_minutes,school_minutes,rail_station_minutes,pharmacy_minutes,hospital_score,primary_care_score,supermarket_score,school_score,rail_station_score,pharmacy_score,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
250117,Alcarràs,33,Segrià,2026-08-20,18.441667,1.116,1.284,2.925,20.926167,0.457333,73.1167,100,100,100,68.1477,100,86.9087,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,86.9087,86.9087,100,,open_community,osm_cross_border_nearest5_ors,true
250122,Alcoletge,33,Segrià,2026-08-20,15.729167,11.355167,9.681833,1.051833,5.093667,1.767,78.5417,87.2897,90.6363,100,99.8127,100,90.8187,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,90.8187,90.8187,100,,open_community,osm_cross_border_nearest5_ors,true
250138,Alfarràs,33,Segrià,2026-08-20,28.27,1.043833,0.4155,1.536333,24.0895,0.417167,53.46,100,100,100,61.821,100,80.7292,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,80.7292,80.7292,100,,open_community,osm_cross_border_nearest5_ors,true
250143,Alfés,33,Segrià,2026-08-20,13.641667,0.5605,11.4755,1.951667,15.695333,9.408,82.7167,100,87.049,100,78.6093,91.184,87.9292,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,87.9292,87.9292,100,,open_community,osm_cross_border_nearest5_ors,true
250156,Algerri,23,Noguera,2026-08-20,23.836167,7.860333,7.8725,1.091833,21.6975,1.0285,62.3277,94.2793,94.255,100,66.605,100,81.8958,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,81.8958,81.8958,100,,open_community,osm_cross_border_nearest5_ors,true
250169,Alguaire,33,Segrià,2026-08-20,23.3335,1.702833,1.292667,2.610667,22.026167,0.995833,63.333,100,100,100,65.9477,100,84.0228,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,84.0228,84.0228,100,,open_community,osm_cross_border_nearest5_ors,true
250175,Alins,26,Pallars Sobirà,2026-08-20,67.814,5.790333,14.907167,0.284333,65.341167,14.532167,7.3953,98.4193,80.1857,100,8.2196,80.9357,52.3864,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,52.3864,52.3864,100,,open_community,osm_cross_border_nearest5_ors,true
250194,Almacelles,33,Segrià,2026-08-20,26.088333,8.1565,0.6525,1.582333,9.474833,0.162167,57.8233,93.687,100,100,91.0503,100,86.7189,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,86.7189,86.7189,100,,open_community,osm_cross_border_nearest5_ors,true
250208,Almatret,33,Segrià,2026-08-20,41.2125,1.659333,23.891,16.815,21.771667,17.206,35.05,100,62.218,76.37,66.4567,75.588,64.6932,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,64.6932,64.6932,100,,open_community,osm_cross_border_nearest5_ors,true
250215,Almenar,33,Segrià,2026-08-20,27.303833,1.907,2.468333,3.120333,25.9965,2.6555,55.3923,100,100,100,58.007,100,80.4495,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,80.4495,80.4495,100,,open_community,osm_cross_border_nearest5_ors,true
