municipality_code,municipality_name,comarca_code,comarca_name,reference_period,avg_monthly_rent_eur,avg_sale_price_eur,gross_yield_proxy_pct,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
081424,la Nou de Berguedà,14,Berguedà,2025,,,,,0,missing,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
081430,Òdena,06,Anoia,2025,524.12,126214.9,4.98312,54.2411,85,municipality,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,54.2411,54.2411,100,,official,default,true
081445,Olvan,14,Berguedà,2025,556.43,,,,0,missing,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
081458,Olèrdola,03,Alt Penedès,2025,819.52,231761.9,4.243251,35.1456,85,municipality,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,35.1456,35.1456,100,,official,default,true
081461,Olesa de Bonesvalls,03,Alt Penedès,2025,641.01,249751.85,3.079905,5.1204,85,municipality,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,5.1204,5.1204,100,,official,default,true
081477,Olesa de Montserrat,11,Baix Llobregat,2025,680.95,187358.52,4.361371,38.1942,85,municipality,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,38.1942,38.1942,100,,official,default,true
081483,Olivella,17,Garraf,2025,1436.33,285750.7,6.031817,81.3073,85,municipality,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,81.3073,81.3073,100,,official,default,true
081496,Olost,43,Lluçanès,2025,636.67,,,,0,missing,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
081509,Orís,24,Osona,2025,,,,,0,missing,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
081516,Oristà,43,Lluçanès,2025,605.3,,,,0,missing,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
081521,Orpí,06,Anoia,2025,,,,,0,missing,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
081537,Òrrius,21,Maresme,2025,737.22,,,,0,missing,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
081542,Pacs del Penedès,03,Alt Penedès,2025,,,,,0,missing,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
