municipality_code,municipality_name,comarca_code,comarca_name,reference_period,nearest_station,nearest_station_minutes,nearest_station_km,best_station,best_station_minutes,best_station_skiable_km,second_station,second_station_minutes,third_station,third_station_minutes,ski_raw,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
170524,Siurana,02,Alt Empordà,2026-08-21,Vallter,113.404,98.31,Vallter,113.404,13.58,Vall de Núria,133.448667,La Molina,139.128667,0.229739,21.159,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,21.159,21.159,100,,curated,access_variety_no_tier,true
170545,Colera,02,Alt Empordà,2026-08-21,Vallter,143.836833,126.7,Vallter,143.836833,13.58,Vall de Núria,163.8815,La Molina,169.561333,0.138342,8.7627,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,8.7627,8.7627,100,,curated,access_variety_no_tier,true
170558,Colomers,10,Baix Empordà,2026-08-21,Vallter,122.809333,108.1,Vallter,122.809333,13.58,Vall de Núria,141.376833,La Molina,147.056667,0.198084,16.8655,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,16.8655,16.8655,100,,curated,access_variety_no_tier,true
170561,Cornellà del Terri,28,Pla de l'Estany,2026-08-21,Vallter,103.884333,88.73,Vallter,103.884333,13.58,Vall de Núria,123.929,La Molina,129.608833,0.269241,26.5167,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,26.5167,26.5167,100,,curated,access_variety_no_tier,true
170577,Corçà,10,Baix Empordà,2026-08-21,Vallter,131.2875,115.37,Vallter,131.2875,13.58,Vall de Núria,146.783667,La Molina,152.4635,0.175125,13.7516,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,13.7516,13.7516,100,,curated,access_variety_no_tier,true
170583,Crespià,28,Pla de l'Estany,2026-08-21,Vallter,95.237667,80.13,Vallter,95.237667,13.58,Vall de Núria,115.282333,La Molina,120.962167,0.310977,32.1773,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,32.1773,32.1773,100,,curated,access_variety_no_tier,true
170600,Darnius,02,Alt Empordà,2026-08-21,Vallter,122.270833,101.17,Vallter,122.270833,13.58,Vall de Núria,147.195,La Molina,152.874833,0.192877,16.1593,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,16.1593,16.1593,100,,curated,access_variety_no_tier,true
170617,Das,15,Cerdanya,2026-08-21,Masella,9.76,6.07,Masella,9.76,74,La Molina,16.030333,Vall de Núria,85.478667,1.292794,100,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,100,100,100,,curated,access_variety_no_tier,true
170622,l'Escala,02,Alt Empordà,2026-08-21,Vallter,132.046,116.87,Vallter,132.046,13.58,Vall de Núria,152.090833,La Molina,157.770667,0.168384,12.8373,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,12.8373,12.8373,100,,curated,access_variety_no_tier,true
170638,Espinelves,24,Osona,2026-08-21,Vall de Núria,91.008333,72.91,Vall de Núria,91.008333,7.614,La Molina,96.688333,Masella,101.814333,0.365021,39.5074,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,39.5074,39.5074,100,,curated,access_variety_no_tier,true
