municipality_code,municipality_name,comarca_code,comarca_name,reference_period,population,sales_count,sales_per_1000,rental_contracts,rental_contracts_per_1000,sale_liquidity_score,rental_liquidity_score,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
082652,Sant Vicenç de Torelló,24,Osona,2025 (2025S1),2118,30,14.164306,16,7.554297,46.9997,24.7997,38.1197,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,38.1197,38.1197,100,,official,default,true
082665,Cerdanyola del Vallès,40,Vallès Occidental,2025 (2025S1),58264,555,9.525608,639,10.967321,23.7408,42.7291,31.3361,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,31.3361,31.3361,100,,official,default,true
082671,Sentmenat,40,Vallès Occidental,2025 (2025S1),9528,111,11.649874,77,8.081444,34.3921,27.5689,31.6628,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,31.6628,31.6628,100,,official,default,true
082687,Cercs,14,Berguedà,2025 (2025S1),1236,,,24,19.417476,,87.1199,,0,missing,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
082690,Seva,24,Osona,2025 (2025S1),3818,29,7.5956,32,8.381351,14.0636,29.1444,20.0959,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,20.0959,20.0959,100,,official,default,true
082704,Sitges,17,Garraf,2025 (2025S1),32690,403,12.327929,554,16.947079,37.792,74.1423,52.3321,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,52.3321,52.3321,100,,official,default,true
082711,Sobremunt,43,Lluçanès,2025 (2025S1),89,,,3,33.707865,,100,,0,missing,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
082726,Sora,24,Osona,2025 (2025S1),225,,,,,,,,0,missing,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
082732,Subirats,03,Alt Penedès,2025 (2025S1),3287,29,8.822635,22,6.693033,20.2161,20.2753,20.2398,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,20.2398,20.2398,100,,official,default,true
082747,Súria,07,Bages,2025 (2025S1),6196,60,9.683667,71,11.459006,24.5334,45.3121,32.8449,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,32.8449,32.8449,100,,official,default,true
082750,Tavèrnoles,24,Osona,2025 (2025S1),354,,,,,,,,0,missing,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
082763,Tagamanent,41,Vallès Oriental,2025 (2025S1),329,,,1,3.039514,,1.0824,,0,missing,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
082779,Talamanca,07,Bages,2025 (2025S1),209,,,2,9.569378,,35.3854,,0,missing,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
082785,Taradell,24,Osona,2025 (2025S1),6838,43,6.288388,86,12.576777,7.5091,51.184,24.9791,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,24.9791,24.9791,100,,official,default,true
082798,Terrassa,40,Vallès Occidental,2025 (2025S1),232676,3838,16.49504,3017,12.966529,58.6863,53.2315,56.5044,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,56.5044,56.5044,100,,official,default,true
082802,Tavertet,24,Osona,2025 (2025S1),128,,,3,23.4375,,100,,0,missing,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
082819,Teià,21,Maresme,2025 (2025S1),6894,74,10.733972,70,10.153757,29.7997,38.4553,33.2619,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,33.2619,33.2619,100,,official,default,true
082824,Tiana,21,Maresme,2025 (2025S1),9362,62,6.622517,95,10.147404,9.1844,38.4219,20.8794,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,20.8794,20.8794,100,,official,default,true
082830,Tona,24,Osona,2025 (2025S1),8513,83,9.749794,133,15.623165,24.8649,67.1874,41.7939,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,41.7939,41.7939,100,,official,default,true
082845,Tordera,21,Maresme,2025 (2025S1),19047,323,16.958051,169,8.872788,61.0079,31.7261,49.2952,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,49.2952,49.2952,100,,official,default,true
082858,Torelló,24,Osona,2025 (2025S1),15334,192,12.521195,178,11.608191,38.761,46.0958,41.6949,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,41.6949,41.6949,100,,official,default,true
082861,la Torre de Claramunt,06,Anoia,2025 (2025S1),4154,66,15.8883,9,2.166586,55.644,0,33.3864,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,33.3864,33.3864,100,,official,default,true
082877,Torrelavit,03,Alt Penedès,2025 (2025S1),1575,,,20,12.698413,,51.823,,0,missing,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
082883,Torrelles de Foix,03,Alt Penedès,2025 (2025S1),2751,60,21.810251,25,9.087605,85.3373,32.8545,64.3442,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,64.3442,64.3442,100,,official,default,true
082896,Torrelles de Llobregat,11,Baix Llobregat,2025 (2025S1),6162,47,7.627394,52,8.438819,14.223,29.4463,20.3123,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,20.3123,20.3123,100,,official,default,true
082900,Ullastrell,40,Vallès Occidental,2025 (2025S1),2170,36,16.589862,16,7.373272,59.1617,23.8487,45.0365,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,45.0365,45.0365,100,,official,default,true
082917,Vacarisses,40,Vallès Occidental,2025 (2025S1),7710,115,14.915694,28,3.631647,50.7673,4.1931,32.1376,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,32.1376,32.1376,100,,official,default,true
082922,Vallbona d'Anoia,06,Anoia,2025 (2025S1),1420,,,13,9.15493,,33.2082,,0,missing,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
082938,Vallcebre,14,Berguedà,2025 (2025S1),260,,,2,7.692308,,25.5247,,0,missing,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
082943,Vallgorguina,41,Vallès Oriental,2025 (2025S1),3273,48,14.665445,11,3.360831,49.5125,2.7704,30.8157,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,30.8157,30.8157,100,,official,default,true
082956,Vallirana,11,Baix Llobregat,2025 (2025S1),16239,136,8.3749,103,6.342755,17.9711,18.4352,18.1567,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,18.1567,18.1567,100,,official,default,true
082969,Vallromanes,41,Vallès Oriental,2025 (2025S1),2782,29,10.424155,14,5.032351,28.2462,11.5513,21.5682,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,21.5682,21.5682,100,,official,default,true
082975,Veciana,06,Anoia,2025 (2025S1),170,,,1,5.882353,,16.0166,,0,missing,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
082981,Vic,24,Osona,2025 (2025S1),50405,420,8.332507,865,17.160996,17.7585,75.266,40.7615,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,40.7615,40.7615,100,,official,default,true
