municipality_code,municipality_name,comarca_code,comarca_name,reference_period,population_current,population_1y_ago,population_5y_ago,population_change_5y,growth_1y_pct,cagr_5y_pct,trend_score,scale_adjusted_growth_score,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
250931,Fondarella,27,Pla d'Urgell,2025,823,805,776,47,2.236025,1.183017,55.3046,67.1424,58.8559,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,58.8559,58.8559,100,,official,annual_trend_scale_adjusted,true
250946,Foradada,23,Noguera,2025,193,195,203,-10,-1.025641,-1.005229,3.6078,5.8454,4.2791,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,4.2791,4.2791,100,,official,annual_trend_scale_adjusted,true
250962,la Fuliola,38,Urgell,2025,1262,1238,1250,12,1.938611,0.191267,31.8747,54.3704,38.6234,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,38.6234,38.6234,100,,official,annual_trend_scale_adjusted,true
250978,Fulleda,18,Garrigues,2025,87,91,102,-15,-4.395604,-3.131223,0,2.1818,0.6545,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,0.6545,0.6545,100,,official,annual_trend_scale_adjusted,true
250984,Gavet de la Conca,25,Pallars Jussà,2025,252,259,261,-9,-2.702703,-0.699369,10.8337,6.7773,9.6168,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,9.6168,9.6168,100,,official,annual_trend_scale_adjusted,true
250997,Golmés,27,Pla d'Urgell,2025,1909,1916,1855,54,-0.365344,0.575547,40.9533,68.4735,49.2094,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,49.2094,49.2094,100,,official,annual_trend_scale_adjusted,true
251001,Gósol,14,Berguedà,2025,205,215,206,-1,-4.651163,-0.097276,25.058,22.5139,24.2948,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,24.2948,24.2948,100,,official,annual_trend_scale_adjusted,true
251018,la Granadella,18,Garrigues,2025,748,758,716,32,-1.319261,0.878291,48.1055,63.4788,52.7175,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,52.7175,52.7175,100,,official,annual_trend_scale_adjusted,true
251023,la Granja d'Escarp,33,Segrià,2025,994,943,922,72,5.408271,1.515204,63.1524,71.2418,65.5792,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,65.5792,65.5792,100,,official,annual_trend_scale_adjusted,true
251039,Granyanella,32,Segarra,2025,154,140,143,11,10,1.493198,62.6325,53.5878,59.9191,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,59.9191,59.9191,100,,official,annual_trend_scale_adjusted,true
251044,Granyena de Segarra,32,Segarra,2025,149,145,151,-2,2.758621,-0.266315,21.0645,18.5494,20.31,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,20.31,20.31,100,,official,annual_trend_scale_adjusted,true
251057,Granyena de les Garrigues,18,Garrigues,2025,174,163,140,34,6.748466,4.44418,100,64.0541,89.2162,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,89.2162,89.2162,100,,official,annual_trend_scale_adjusted,true
251095,Guimerà,38,Urgell,2025,250,246,271,-21,1.626016,-1.600216,0,0,0,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,0,0,100,,official,annual_trend_scale_adjusted,true
251109,Guissona,32,Segarra,2025,7774,7635,7248,526,1.820563,1.411048,60.6917,90.5697,69.6551,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,69.6551,69.6551,100,,official,annual_trend_scale_adjusted,true
251116,Guixers,35,Solsonès,2025,125,134,132,-7,-6.716418,-1.083847,1.7505,8.9592,3.9131,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,3.9131,3.9131,100,,official,annual_trend_scale_adjusted,true
251121,Ivars de Noguera,23,Noguera,2025,317,318,332,-15,-0.314465,-0.920402,5.6119,2.1818,4.5829,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,4.5829,4.5829,100,,official,annual_trend_scale_adjusted,true
251137,Ivars d'Urgell,27,Pla d'Urgell,2025,1578,1590,1537,41,-0.754717,0.527904,39.8277,65.8368,47.6304,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,47.6304,47.6304,100,,official,annual_trend_scale_adjusted,true
251142,Ivorra,32,Segarra,2025,100,100,108,-8,0,-1.527435,0,7.8075,2.3422,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,2.3422,2.3422,100,,official,annual_trend_scale_adjusted,true
251155,Isona i Conca Dellà,25,Pallars Jussà,2025,1038,1046,1042,-4,-0.764818,-0.076894,25.5395,13.5547,21.9441,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,21.9441,21.9441,100,,official,annual_trend_scale_adjusted,true
251180,Juncosa,18,Garrigues,2025,377,390,395,-18,-3.333333,-0.928474,5.4212,0.5015,3.9453,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,3.9453,3.9453,100,,official,annual_trend_scale_adjusted,true
251193,Juneda,18,Garrigues,2025,3453,3473,3501,-48,-0.575871,-0.275724,20.8422,0,14.5895,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,14.5895,14.5895,100,,official,annual_trend_scale_adjusted,true
251207,Lleida,33,Segrià,2025,146266,144739,140403,5863,1.055002,0.821557,46.7652,100,62.7356,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,62.7356,62.7356,100,,official,annual_trend_scale_adjusted,true
251214,Les,39,Val d'Aran,2025,1036,1013,971,65,2.270484,1.304353,58.1711,70.2562,61.7966,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,61.7966,61.7966,100,,official,annual_trend_scale_adjusted,true
251229,Linyola,27,Pla d'Urgell,2025,2762,2749,2717,45,0.472899,0.329075,35.1304,66.7263,44.6092,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,44.6092,44.6092,100,,official,annual_trend_scale_adjusted,true
