municipality_code,municipality_name,comarca_code,comarca_name,reference_period,flood_t10_pct,flood_t100_pct,flood_t500_pct,preferred_flow_zone_pct,flood_risk_raw,flood_safety_score,high_fire_risk_area_pct,very_high_fire_risk_area_pct,fire_risk_raw,fire_safety_score,flood_red_flag,fire_red_flag,risk_review_required,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
082981,Vic,24,Osona,2024,,,,,,,18.547141,2.009274,22.565688,83.4631,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,37.5584,92.5584,45,,official,territorial_fire_7_8_high_9_10_very_high,false
082994,Vilada,14,Berguedà,2024,,,,,,,36.90651,8.565835,54.038179,58.374,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,26.2683,81.2683,45,,official,territorial_fire_7_8_high_9_10_very_high,false
083008,Viladecavalls,40,Vallès Occidental,2024,,,,,,,36.600891,42.838956,122.278803,3.9743,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,1.7884,56.7884,45,,official,territorial_fire_7_8_high_9_10_very_high,false
083015,Viladecans,11,Baix Llobregat,2024,,,,,,,13.414634,14.45993,42.334495,67.7039,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,30.4668,85.4668,45,,official,territorial_fire_7_8_high_9_10_very_high,false
083020,Vilanova del Camí,06,Anoia,2024,,,,,,,36.832413,36.095764,109.023941,14.5407,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,6.5433,61.5433,45,,official,territorial_fire_7_8_high_9_10_very_high,false
083036,Vilanova de Sau,24,Osona,2024,,,,,,,14.322868,3.678246,21.679361,84.1697,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,37.8764,92.8764,45,,official,territorial_fire_7_8_high_9_10_very_high,false
083041,Vilobí del Penedès,03,Alt Penedès,2024,,,,,,,41.509434,16.981132,75.471698,41.2877,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,18.5795,73.5795,45,,official,territorial_fire_7_8_high_9_10_very_high,false
083054,Vilafranca del Penedès,03,Alt Penedès,2024,,,,,,,12.871287,3.960396,20.792079,84.877,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,38.1946,93.1946,45,,official,territorial_fire_7_8_high_9_10_very_high,false
083067,Vilalba Sasserra,41,Vallès Oriental,2024,,,,,,,30.784314,11.372549,53.529412,58.7796,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,26.4508,81.4508,45,,official,territorial_fire_7_8_high_9_10_very_high,false
083073,Vilanova i la Geltrú,17,Garraf,2024,,,,,,,15.734824,2.076677,19.888179,85.5976,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,38.5189,93.5189,45,,official,territorial_fire_7_8_high_9_10_very_high,false
