municipality_code,municipality_name,comarca_code,comarca_name,reference_period,resident_population,non_resident_present,resident_absent,population_etca,population_etca_pct,etca_pressure,hut_count,hut_per_1000,hotel_count,rural_count,camping_count,tourist_establishments_count,tourist_establishments_per_1000,ieet_available,ieet_total_eur,ieet_hut_eur,ieet_eur_per_resident,etca_score,hut_density_score,tourist_supply_score,ieet_score,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
171292,Pedret i Marzà,02,Alt Empordà,2024,,,,,,,5,24.038462,0,4,0,9,43.269231,false,,,,,24.5761,30.9577,,,0,missing,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,not_published,ETCA is not published for every municipality.,engineering_pending,0,100,0,,official,default,false
171306,la Pera,10,Baix Empordà,2024,,,,,,,16,35.634744,2,3,0,21,46.770601,false,,,,,36.4317,33.4815,,,0,missing,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,not_published,ETCA is not published for every municipality.,engineering_pending,0,100,0,,official,default,false
171328,Peralada,02,Alt Empordà,2024,2047,395,-355,2087,102,1.019541,60,29.311187,4,13,0,77,37.616023,false,,,,23.4429,29.9667,26.8828,,25.7618,75,municipality,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,,IEET municipal not used; score is the documented base formula.,complete,25.7618,25.7618,100,,official,default,true
171334,les Planes d'Hostoles,19,Garrotxa,2024,1748,131,-233,1646,94.2,0.941648,35,20.022883,2,9,2,48,27.459954,false,,,,11.9546,20.4707,19.5622,,15.6051,75,municipality,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,,IEET municipal not used; score is the documented base formula.,complete,15.6051,15.6051,100,,official,default,true
171349,Planoles,31,Ripollès,2024,,,,,,,15,47.923323,2,2,1,20,63.897764,false,,,,,48.9951,45.8269,,,0,missing,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,not_published,ETCA is not published for every municipality.,engineering_pending,0,100,0,,official,default,false
171352,Pont de Molins,02,Alt Empordà,2024,,,,,,,7,11.945392,3,0,0,10,17.064846,false,,,,,12.2125,12.0694,,,0,missing,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,not_published,ETCA is not published for every municipality.,engineering_pending,0,100,0,,official,default,false
171365,Pontós,02,Alt Empordà,2024,,,,,,,10,33.898305,1,4,0,15,50.847458,false,,,,,34.6564,36.4202,,,0,missing,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,not_published,ETCA is not published for every municipality.,engineering_pending,0,100,0,,official,default,false
171371,Porqueres,28,Pla de l'Estany,2024,4782,320,-806,4296,89.8,0.898369,13,2.718528,4,11,1,29,6.064408,false,,,,5.5716,2.7793,4.1402,,4.5872,75,municipality,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,,IEET municipal not used; score is the documented base formula.,complete,4.5872,4.5872,100,,official,default,true
171387,Portbou,02,Alt Empordà,2024,1082,787,-118,1751,161.8,1.618299,47,43.438078,4,0,0,51,47.134935,false,,,,100,44.4095,33.7441,,72.8512,75,municipality,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,,IEET municipal not used; score is the documented base formula.,complete,72.8512,72.8512,100,,official,default,true
171390,les Preses,19,Garrotxa,2024,1924,559,-349,2134,110.9,1.109148,14,7.276507,1,0,1,16,8.316008,false,,,,36.6587,7.4392,5.7631,,23.1747,75,municipality,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,,IEET municipal not used; score is the documented base formula.,complete,23.1747,23.1747,100,,official,default,true
